,Factor,View,Group,R2
0,Factor1,rna,group1,22.808921337127686
1,Factor1,adt,group1,14.7921621799469
2,Factor2,rna,group1,4.599547386169434
3,Factor2,adt,group1,4.916197061538696
4,Factor3,rna,group1,2.6471614837646484
5,Factor3,adt,group1,5.452018976211548
6,Factor4,rna,group1,1.2771010398864746
7,Factor4,adt,group1,3.7965774536132812
8,Factor5,rna,group1,1.3170182704925537
9,Factor5,adt,group1,1.9656002521514893
10,Factor6,rna,group1,1.7873108386993408
11,Factor6,adt,group1,0.5441725254058838
12,Factor7,rna,group1,1.316767930984497
13,Factor7,adt,group1,0.8408069610595703
14,Factor8,rna,group1,0.6110906600952148
15,Factor8,adt,group1,1.3374567031860352
16,Factor9,rna,group1,0.406038761138916
17,Factor9,adt,group1,1.273578405380249
18,Factor10,rna,group1,0.4774928092956543
19,Factor10,adt,group1,1.028662919998169
20,Factor11,rna,group1,0.2017676830291748
21,Factor11,adt,group1,1.1594533920288086
22,Factor12,rna,group1,0.3222942352294922
23,Factor12,adt,group1,0.679391622543335
24,Factor13,rna,group1,0.5028247833251953
25,Factor13,adt,group1,0.47801733016967773
26,Factor14,rna,group1,0.29065608978271484
27,Factor14,adt,group1,0.41196346282958984
28,Factor15,rna,group1,0.22284388542175293
29,Factor15,adt,group1,0.4125356674194336
30,Factor16,rna,group1,0.22556781768798828
31,Factor16,adt,group1,0.36728382110595703
32,Factor17,rna,group1,0.12750625610351562
33,Factor17,adt,group1,0.4574596881866455
34,Factor18,rna,group1,0.17184019088745117
35,Factor18,adt,group1,0.40321946144104004
36,Factor19,rna,group1,0.2843499183654785
37,Factor19,adt,group1,0.282818078994751
38,Factor20,rna,group1,0.10527372360229492
39,Factor20,adt,group1,0.4248380661010742
40,Factor21,rna,group1,0.27312636375427246
41,Factor21,adt,group1,0.21599531173706055
42,Factor22,rna,group1,0.1968085765838623
43,Factor22,adt,group1,0.27923583984375
44,Factor23,rna,group1,0.17362236976623535
45,Factor23,adt,group1,0.27597546577453613
46,Factor24,rna,group1,0.13219118118286133
47,Factor24,adt,group1,0.2967715263366699
48,Factor25,rna,group1,0.17060041427612305
49,Factor25,adt,group1,0.20408034324645996
50,Factor26,rna,group1,0.09793639183044434
51,Factor26,adt,group1,0.2653360366821289
52,Factor27,rna,group1,0.18767714500427246
53,Factor27,adt,group1,0.14054179191589355
54,Factor28,rna,group1,0.10235905647277832
55,Factor28,adt,group1,0.2248704433441162
56,Factor29,rna,group1,0.06470680236816406
57,Factor29,adt,group1,0.24152398109436035
58,Factor30,rna,group1,0.06871819496154785
59,Factor30,adt,group1,0.23515820503234863
60,Factor31,rna,group1,0.06653070449829102
61,Factor31,adt,group1,0.23386478424072266
62,Factor32,rna,group1,0.08717179298400879
63,Factor32,adt,group1,0.20462274551391602
64,Factor33,rna,group1,0.14982223510742188
65,Factor33,adt,group1,0.1385331153869629
66,Factor34,rna,group1,0.08980035781860352
67,Factor34,adt,group1,0.18731951713562012
68,Factor35,rna,group1,0.11632442474365234
69,Factor35,adt,group1,0.13797283172607422
70,Factor36,rna,group1,0.06282329559326172
71,Factor36,adt,group1,0.16791820526123047
72,Factor37,rna,group1,0.0783085823059082
73,Factor37,adt,group1,0.14072656631469727
74,Factor38,rna,group1,0.10204315185546875
75,Factor38,adt,group1,0.10672211647033691
76,Factor39,rna,group1,0.06619095802307129
77,Factor39,adt,group1,0.1389622688293457
78,Factor40,rna,group1,0.0982046127319336
79,Factor40,adt,group1,0.09922981262207031
80,Factor41,rna,group1,0.04436969757080078
81,Factor41,adt,group1,0.14971494674682617
82,Factor42,rna,group1,0.08124709129333496
83,Factor42,adt,group1,0.11054277420043945
84,Factor43,rna,group1,0.06837248802185059
85,Factor43,adt,group1,0.10982751846313477
86,Factor44,rna,group1,0.06636977195739746
87,Factor44,adt,group1,0.11157989501953125
88,Factor45,rna,group1,0.04210472106933594
89,Factor45,adt,group1,0.12957453727722168
90,Factor46,rna,group1,0.0746309757232666
91,Factor46,adt,group1,0.08545517921447754
92,Factor47,rna,group1,0.06508827209472656
93,Factor47,adt,group1,0.09084939956665039
94,Factor48,rna,group1,0.037223100662231445
95,Factor48,adt,group1,0.11513829231262207
96,Factor49,rna,group1,0.031560659408569336
97,Factor49,adt,group1,0.11307597160339355
98,Factor50,rna,group1,0.02040266990661621
99,Factor50,adt,group1,0.060373544692993164
100,Factor51,rna,group1,0.04531741142272949
101,Factor51,adt,group1,0.02504587173461914
102,Factor52,rna,group1,0.0
103,Factor52,adt,group1,0.05911588668823242
104,Factor53,rna,group1,0.0299990177154541
105,Factor53,adt,group1,0.023692846298217773
106,Factor54,rna,group1,0.0
107,Factor54,adt,group1,0.023829936981201172
108,Factor55,rna,group1,0.0
109,Factor55,adt,group1,0.02033710479736328
110,Factor56,rna,group1,0.0
111,Factor56,adt,group1,0.01900792121887207
112,Factor57,rna,group1,0.0
113,Factor57,adt,group1,0.0177919864654541
114,Factor58,rna,group1,0.0
115,Factor58,adt,group1,0.015479326248168945
116,Factor59,rna,group1,0.0
117,Factor59,adt,group1,0.013899803161621094
118,Factor60,rna,group1,0.0
119,Factor60,adt,group1,0.0125885009765625
120,Factor61,rna,group1,0.0
121,Factor61,adt,group1,0.01220703125
122,Factor62,rna,group1,0.0
123,Factor62,adt,group1,0.0011920928955078125
124,Factor63,rna,group1,0.0
125,Factor63,adt,group1,0.0005125999450683594
126,Factor64,rna,group1,0.0
127,Factor64,adt,group1,0.0
